Index,Age_ka_BP,δ18O_value
20,73.9557959200937,-7.28512742830172
25,73.94724359,-9.86734818567
120,73.65078499828371,-4.99038318398395
125,73.64066309,-8.367
160,73.50859031,-10.1359689604
165,73.4932791052599,-5.95
275,73.12956117301991,-3.54971767649247
280,73.11831158999999,-9.80483759646
285,73.0977230311674,-5.26
365,72.82894301,-3.75
