Age_ka_BP,d18O_measurement,XGB_anomaly,BiLSTM_anomaly
0.0106075,-7.84,0,
0.0106335,-7.84,0,
0.0106637,-7.87,0,
0.0107014,-7.77,0,
0.0107326,-7.56,0,
0.0107627,-7.65,0,
0.0107881,-7.56,0,
0.0108202,-7.64,0,
0.0108436,-7.57,0,
0.010868399999999999,-7.45,0,
0.0108894,-7.3,0,
0.010919700000000001,-7.33,0,
0.0109438,-7.14,0,
0.010969699999999999,-7.21,0,
0.0109991,-7.06,0,
0.0110424,-7.12,0,
0.0110901,-6.79,0,
0.011153,-6.42,0,
0.011226100000000001,-6.29,0,
0.0113058,-6.29,0,
0.0113703,-6.3,0,0.0
0.0114313,-6.34,0,0.0
0.011492800000000001,-6.31,0,0.0
0.011568,-6.31,0,0.0
0.0116316,-6.11,0,0.0
0.011697599999999999,-6.16,0,0.0
0.0117714,-6.09,0,0.0
0.0118582,-6.09,0,0.0
0.0119221,-6.11,0,0.0
0.0119761,-6.11,0,0.0
0.012021,-6.33,0,0.0
0.012071,-6.49,0,0.0
0.0121082,-6.54,0,0.0
0.0121469,-6.61,0,0.0
0.012183099999999999,-6.73,0,0.0
0.0122182,-6.67,0,0.0
0.0122659,-6.8,0,0.0
0.0123033,-6.8,0,0.0
0.0123431,-6.97,0,0.0
0.012384299999999999,-7.1,0,0.0
0.012442,-7.39,0,0.0
0.0124961,-7.41,1,0.0
0.0125525,-7.33,0,0.0
0.0126064,-7.22,0,0.0
0.012665,-7.25,0,0.0
0.0127119,-7.15,0,0.0
0.0127553,-7.07,0,0.0
0.012795899999999999,-7.27,0,0.0
0.0128452,-7.28,0,0.0
0.0128833,-7.33,0,0.0
0.0129211,-7.28,0,0.0
0.0129591,-7.25,0,0.0
0.013006199999999999,-7.16,0,0.0
0.0130426,-7.01,0,0.0
0.013080399999999999,-7.01,0,0.0
0.013118000000000001,-7.0,0,0.0
0.0131637,-7.04,0,0.0
0.013201599999999999,-6.89,0,0.0
0.0132395,-6.78,0,0.0
0.0132778,-6.64,0,0.0
0.0133255,-6.71,0,0.0
0.013364800000000001,-6.75,0,0.0
0.0134062,-6.73,0,0.0
0.0134516,-6.77,0,0.0
0.013509700000000001,-6.71,0,0.0
0.013556200000000001,-6.7,0,0.0
0.013607,-6.68,0,0.0
0.0136652,-6.71,0,0.0
0.013721,-6.76,0,0.0
0.0137989,-6.51,0,0.0
0.0138652,-6.27,0,0.0
0.0139232,-5.86,0,0.0
0.013977,-5.7,0,0.0
0.0140409,-5.5,0,0.0
0.0140974,-5.23,1,0.0
0.0141617,-5.23,0,0.0
0.0142407,-5.08,0,0.0
0.0143551,-4.99,0,0.0
0.0144626,-5.02,0,0.0
0.014568099999999999,-5.06,0,0.0
0.0146677,-5.19,0,0.0
0.0147879,-5.24,0,0.0
0.0148858,-5.22,0,0.0
0.0149852,-5.11,0,0.0
0.0150836,-5.11,0,0.0
0.0151841,-5.11,0,0.0
0.015243,-4.91,0,0.0
0.015289,-4.83,0,0.0
0.0153264,-4.87,0,0.0
0.0153732,-4.62,0,0.0
0.01541,-4.64,0,0.0
0.015452299999999999,-4.42,0,0.0
0.015495799999999999,-4.2,0,0.0
0.0155649,-4.03,0,0.0
0.015625899999999998,-4.83,0,1.0
0.0156965,-5.14,0,1.0
0.015777,-5.4,0,1.0
0.015870799999999997,-5.36,1,0.0
0.0159443,-5.25,1,0.0
0.0160121,-5.41,0,0.0
0.016077400000000002,-5.23,0,0.0
0.0161238,-5.21,0,0.0
0.0161691,-5.29,0,0.0
0.0162113,-5.24,0,0.0
0.0162669,-5.19,0,0.0
0.0163203,-5.07,0,0.0
0.0163702,-5.19,0,0.0
0.0164177,-5.28,0,0.0
0.0164559,-5.41,0,0.0
0.016493400000000002,-4.96,0,0.0
0.016555900000000002,-5.32,0,0.0
0.016617999999999997,-5.11,0,0.0
0.0166801,-5.34,0,0.0
0.016743099999999997,-5.76,0,1.0
0.0168065,-5.41,0,0.0
0.016870899999999998,-5.61,0,0.0
0.0169377,-5.53,0,0.0
0.0170091,-5.76,0,0.0
0.0170851,-5.56,0,0.0
0.0171676,-5.39,0,0.0
0.017246300000000003,-5.32,0,0.0
0.0173252,-5.46,0,0.0
0.0173972,-5.74,0,0.0
0.0174629,-6.21,0,1.0
0.017523599999999997,-6.22,0,0.0
0.0175815,-6.36,0,0.0
0.017639500000000002,-6.37,0,0.0
0.017702000000000002,-6.42,0,0.0
0.017771799999999997,-6.44,0,0.0
0.0178463,-6.52,0,0.0
0.0179274,-6.36,0,0.0
0.0180073,-6.19,0,0.0
0.0180852,-6.33,0,0.0
0.018161,-6.0,0,0.0
0.018236799999999997,-6.17,0,0.0
0.0183126,-5.98,0,0.0
0.0183884,-6.27,0,0.0
0.0184642,-6.18,0,0.0
0.018539999999999997,-6.13,0,0.0
0.018615800000000002,-6.01,0,0.0
0.018691600000000003,-6.26,0,0.0
0.0187674,-6.02,0,0.0
0.018843099999999998,-6.24,0,0.0
0.018918900000000002,-6.11,0,0.0
0.018994700000000003,-6.17,0,0.0
0.0190705,-5.88,0,0.0
0.0191463,-6.12,0,0.0
0.019222100000000002,-5.96,0,0.0
0.0192979,-6.04,0,0.0
0.026576899999999997,-9.063,1,1.0
0.0266106,-9.062,1,1.0
0.026644300000000003,-9.184,1,0.0
0.026677299999999998,-9.13,1,0.0
0.02671,-9.389,1,0.0
0.0267385,-9.524,1,0.0
0.0267657,-9.379,1,0.0
0.026793,-9.561,0,0.0
0.0268189,-9.523,0,0.0
0.0268448,-9.425,0,0.0
0.02687,-9.602,0,0.0
0.026894300000000003,-9.421,0,0.0
0.0269187,-9.617,0,0.0
0.0269422,-9.53,0,0.0
0.0269654,-9.753,0,0.0
0.0269875,-9.837,0,0.0
0.027009599999999998,-9.834,0,0.0
0.027031700000000002,-9.592,0,0.0
0.027054099999999998,-9.544,0,0.0
0.0270767,-9.748,0,0.0
0.0270986,-9.563,0,0.0
0.0271204,-9.457,0,0.0
0.0271415,-9.4,0,0.0
0.0271631,-9.53,0,0.0
0.0271856,-9.4,0,0.0
0.0272063,-9.302,0,0.0
0.027226800000000002,-9.397,0,0.0
0.027247800000000003,-9.269,0,0.0
0.0272687,-9.291,0,0.0
0.027290400000000003,-9.371,0,0.0
0.0273123,-9.294,0,0.0
0.0273342,-9.226,0,0.0
0.0273559,-9.247,0,0.0
0.027377400000000003,-9.267,0,0.0
0.027399999999999997,-9.474,0,0.0
0.027420899999999998,-8.961,0,0.0
0.0274415,-9.542,0,0.0
0.027462,-9.423,0,0.0
0.027482399999999997,-9.764,0,0.0
0.0275036,-9.221,0,0.0
0.0275255,-9.737,0,0.0
0.0275456,-9.619,0,0.0
0.027567599999999998,-10.151,0,1.0
0.0275893,-9.732,0,0.0
0.02761,-10.203,0,0.0
0.027630199999999997,-10.094,0,0.0
0.027651,-10.224,0,0.0
0.0276721,-9.806,0,0.0
0.027693699999999998,-10.005,0,0.0
0.0277152,-9.597,0,0.0
0.0277361,-9.905,0,0.0
0.0277576,-9.268,0,0.0
0.0277799,-9.48,0,0.0
0.0278023,-9.117,0,0.0
0.0278239,-9.111,0,0.0
0.027846,-8.96,0,0.0
0.027868200000000003,-9.075,0,0.0
0.02789,-8.766,0,0.0
0.0279117,-9.223,0,0.0
0.027934,-9.035,0,0.0
0.0279565,-8.91,0,0.0
0.0279787,-8.637,0,0.0
0.0280016,-8.861,0,0.0
0.0280246,-8.619,0,0.0
0.028047899999999997,-8.848,0,0.0
0.0280718,-8.694,0,0.0
0.0280961,-9.026,0,0.0
0.0281216,-8.94,0,0.0
0.028148,-8.842,0,0.0
0.0281749,-8.791,0,0.0
0.0282022,-9.055,0,0.0
0.028232700000000003,-8.827,0,0.0
0.028266200000000002,-8.77,0,0.0
0.0282923,-8.897,0,0.0
0.0283156,-9.117,0,0.0
0.0283384,-9.054,0,0.0
0.0283598,-9.014,0,0.0
0.0283794,-8.997,0,0.0
0.0283982,-8.925,0,0.0
0.0284168,-8.957,0,0.0
0.0284348,-9.161,0,0.0
0.0284519,-8.956,0,0.0
