d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,year
-0.008876920375407483,-0.10515309751941664,-0.1475584069982656,0.06348916403745575,-10000.0
0.028983828317586856,-0.006364678203064999,0.026358604366646943,-0.012658481663928633,-9996.110967072855
0.009936717673075041,-0.18834598694238905,-0.10938668967917427,-0.0014704054240789466,-9992.22193414571
-0.0629355803274444,-0.33607678208124997,-0.23713094788445074,0.020273316337924896,-9988.332901218564
-0.032394056102672986,-0.2382771388143935,-0.26134166008154036,-0.003124594671017167,-9984.443868291419
0.05220683087514237,-0.04793747150958929,0.09617738540369161,0.08507895306153829,-9980.554835364273
-0.141649537062514,-0.3960477385969068,-0.20056026171109692,-0.012428128294770524,-9976.665802437128
-0.009481331692944073,-0.1444145395970055,-0.20590680183237145,0.014773682310689706,-9972.776769509981
-0.00512820103525226,-0.09759703953965765,-0.07316708298909014,-0.030916190464133464,-9968.887736582836
0.03841497279469824,-0.0521015670990816,-0.1491792349573742,0.01903823161799334,-9964.99870365569
-0.08548239442654801,-0.32436073192645704,-0.1303056979170049,0.050411536934645396,-9961.109670728545
-0.08409590805918282,-0.3096673390099076,-0.18083299451079088,-0.013837595274094061,-9957.2206378014
-0.02184885755442876,-0.09809307369816728,-0.1764262027797118,0.033762151382580124,-9953.331604874254
0.036421426987807495,-0.010150015073938347,-0.10885738931496478,0.022290458485751424,-9949.44257194711
0.029804396589968994,-0.06990337092511383,-0.08579382008334435,0.009066303970499179,-9945.553539019964
0.07991421118979519,0.03882476948168763,-0.034324789123777566,0.02381125400079201,-9941.664506092819
0.10660607587101034,-0.04049186493467445,0.0012968565646139518,0.015854334843987516,-9937.775473165673
0.06846646299609795,-0.08826148419479192,-0.041439538786676014,0.010095172132699504,-9933.886440238528
0.019358639097116,-0.19461192868917265,-0.1630102187868176,-0.0075473497039081905,-9929.997407311383
0.025160979433952298,-0.1718203192969423,-0.14104536452336608,0.003564833782225607,-9926.108374384237
0.04168140174679452,-0.13610297120332082,-0.2110418570020654,0.020105101007529658,-9922.21934145709
-0.05208400846018898,-0.2909055432248601,-0.26284915420551536,-0.0024454778272296473,-9918.330308529945
-0.08554648655002306,-0.37689093547894714,-0.3025447572017582,0.0019487709312669965,-9914.4412756028
-0.002064721817369818,-0.18795493249344225,-0.16618758951199525,-0.03048641451723233,-9910.552242675654
-0.062587807758195,-0.2793868951627517,-0.18124233395085346,-0.021378166904255924,-9906.663209748509
0.045669891027327734,-0.05432263741351295,-0.13964492441767776,0.020235450720315018,-9902.774176821364
0.06913881376366583,-0.06797251807915368,-0.2144934557604486,0.04944028425204519,-9898.885143894218
0.05677483006613772,-0.1413255982894735,-0.29690934924357604,0.011197304513710538,-9894.996110967073
-0.002426883287991984,-0.2258843518411098,-0.32023815987348747,0.005595378423976227,-9891.107078039928
-0.0029270353599283056,-0.1954932900633756,-0.2865900590942341,0.03720601963379552,-9887.218045112782
