Target,MAE,RMSE,R2
d18O_measurement,0.15454855498960135,0.21965275272453497,0.9205982798504166
d13C_measurement,0.24079569340497367,0.3078724522052803,0.8110360549969412
Mg_Ca_measurement,0.1752966742720773,0.31214535836854335,0.9057021364660307
Sr_Ca_measurement,0.0719331475714738,0.20553913912134678,0.9589082987990079
